,strDrink,strSource,strLink,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15
0,1 Inch Punch,SAQ,https://www.saq.com/page/en/saqcom/cocktail/1-inch-punch-ec,vodka,citrus liqueur,,,,,,,,,,,,,
1,50 Days,SAQ,https://www.saq.com/page/en/saqcom/cocktail/50-jours-ec,Almond liqueur,,,,,,,,,,,,,,
2,536,SAQ,0,spiced rum,anise liqueur,,,,,,,,,,,,,
3,77th heaven,SAQ,0,dry gin,raspberry liqueur,,,,,,,,,,,,,
4,911,SAQ,0,tequila,vodka,,,,,,,,,,,,,
5,a sweetheart of a drink,SAQ,0,vodka,irish cream,,,,,,,,,,,,,
6,absinthe cocktail,SAQ,0,absinth,,,,,,,,,,,,,,
7,absolutely refreshing,SAQ,0,vodka,,,,,,,,,,,,,,
8,Africa colada,SAQ,0,rum,marula,,,,,,,,,,,,,
9,african don pedro,SAQ,0,marula,,,,,,,,,,,,,,
10,african espressini,SAQ,0,hazelnut liqueur,marula,,,,,,,,,,,,,
11,african martini,SAQ,0,vodka,coffee liqueur,marula,,,,,,,,,,,,
12,african mint,SAQ,0,white mint liqueur,marula,,,,,,,,,,,,,
13,almond coffee,SAQ,0,almond liqueur,whiskey,,,,,,,,,,,,,
14,almond cosmo,SAQ,0,vodka,almond liqueur,,,,,,,,,,,,,
15,almond cranberry,SAQ,0,almond liqueur,,,,,,,,,,,,,,
16,almond sour,SAQ,0,almond liqueur,,,,,,,,,,,,,,
17,almond splash,SAQ,0,almond liqueur,,,,,,,,,,,,,,
18,almond warmer,SAQ,0,vodka,almond liqueur,,,,,,,,,,,,,
19,aloe fizz,SAQ,0,vodka,,,,,,,,,,,,,,
20,amarante,SAQ,0,armagnac,,,,,,,,,,,,,,
21,amaretto sour,SAQ,0,almond liqueur,,,,,,,,,,,,,,
22,amberamba,SAQ,0,rum,coconut liqueur,,,,,,,,,,,,,
23,american grog,SAQ,0,rum,,,,,,,,,,,,,,
24,americano,SAQ,0,bitter liqueur,red vermouth,,,,,,,,,,,,,
25,anis fresco,SAQ,0,anise liqueur,,,,,,,,,,,,,,
26,anise cosmo,SAQ,0,anise liqueur,,,,,,,,,,,,,,
27,anise tea,SAQ,0,vodka,anise liqueur,,,,,,,,,,,,,
28,aniseedy cranberry,SAQ,0,anise liqueur,,,,,,,,,,,,,,
